                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5045,                 2.0086,                 1.0544,                0.84113,                0.28954,                0.42613,                0.26028,                 1.4365,                 2.1693,                 1.0347,                0.00066,                0.00066,                0.00066
                      2,                 1.5313,                 1.4684,                 1.0722,                0.64985,                0.48043,                0.53481,                0.32096,                 1.3803,                 1.2747,                 1.0348,               0.001139,               0.001139,               0.001139
                      3,                 1.4998,                 1.2961,                 1.0634,                 0.7015,                0.51033,                0.57235,                0.32536,                 1.3756,                 1.1651,                  1.043,              0.0014295,              0.0014295,              0.0014295
                      4,                 1.4324,                 1.1547,                 1.0446,                0.69423,                0.52172,                  0.578,                0.34455,                 1.3246,                 1.0287,                 1.0252,              0.0011514,              0.0011514,              0.0011514
                      5,                 1.4344,                 1.1105,                 1.0404,                0.76122,                0.51206,                0.59783,                0.34806,                 1.3115,                 1.0312,                 1.0225,              0.0011514,              0.0011514,              0.0011514
                      6,                 1.3947,                 1.0434,                 1.0255,                0.74433,                0.53244,                0.60981,                0.36478,                 1.2942,                0.95222,                 1.0031,             0.00086857,             0.00086857,             0.00086857
                      7,                 1.3664,                 1.0042,                 1.0151,                0.76839,                0.53187,                0.61458,                0.37357,                 1.2541,                0.91005,                0.99888,             0.00058571,             0.00058571,             0.00058571
